temperature,pressure,purity,speed,quality_score
222,104,91.12,353,6.27
212,57,97.32,314,5.85
134,88,88.74,454,4.2
226,50,80.08,269,6.06
191,65,94.75,193,7.15
140,102,80.89,461,3.81
222,98,71.03,305,5.74
241,66,94.92,356,7.71
194,88,80.36,257,6.69
207,116,93.22,400,6.24
236,72,80.88,483,5.6
219,40,95.83,279,6.44
223,60,76.59,442,4.56
250,94,99.24,169,10.0
172,45,93.39,431,4.65
121,120,73.43,434,3.81
207,108,86.97,150,8.63
157,44,99.56,268,5.47
249,42,84.13,184,7.91
140,92,75.46,347,3.66
177,62,84.54,394,5.26
141,92,85.37,208,6.21
208,76,92.25,474,4.68
168,113,90.97,310,6.49
178,113,82.08,328,5.19
134,56,76.54,355,2.67
170,117,89.35,161,8.61
227,112,82.65,425,5.56
174,40,73.97,330,3.29
183,90,97.02,391,6.06
250,84,90.74,365,7.57
170,116,90.5,400,5.85
140,43,94.68,448,3.67
192,101,85.89,275,6.37
137,104,94.45,366,4.49
208,71,84.94,455,5.22
179,73,72.02,434,3.14
133,111,82.16,334,4.66
128,78,84.92,188,6.43
209,65,91.61,372,6.0
172,73,73.2,333,4.53
249,93,74.2,327,7.54
203,42,77.91,443,3.19
211,89,77.99,489,4.54
230,51,91.97,300,6.73
127,104,77.52,275,4.98
154,93,88.99,450,4.81
200,44,84.83,457,4.02
169,96,87.2,485,4.22
223,56,95.14,383,6.48
121,86,82.13,157,5.76
173,62,93.13,490,3.31
225,118,82.66,278,7.03
123,53,80.62,413,1.53
173,105,98.76,306,7.9
163,114,75.53,154,6.46
133,90,72.71,235,4.72
214,77,93.13,324,6.55
167,103,72.05,439,3.72
134,77,95.11,342,5.29
159,89,83.12,460,4.03
201,69,97.47,268,6.85
230,118,91.65,367,7.18
172,90,88.31,263,6.51
143,102,98.48,294,6.19
243,91,81.9,175,9.24
160,77,98.62,285,6.53
134,118,74.05,452,3.5
164,69,84.51,381,4.6
184,90,78.1,225,6.95
208,120,86.2,477,5.38
190,44,74.86,494,1.88
128,68,95.25,451,3.62
207,43,95.39,438,4.47
248,49,98.66,150,8.85
182,95,74.64,296,5.73
200,56,88.7,436,5.08
152,113,84.23,291,5.83
242,56,80.33,202,7.52
124,108,80.55,453,3.96
160,73,82.38,218,6.0
147,45,91.15,239,6.67
191,92,87.95,369,5.93
131,105,83.79,341,3.79
152,116,72.28,212,6.33
167,82,72.33,222,5.71
181,114,70.07,310,5.97
156,62,99.03,318,5.91
218,94,70.16,238,6.47
223,119,73.09,325,5.79
154,114,79.44,418,4.11
220,55,94.22,222,7.14
250,47,98.86,394,6.21
120,43,93.7,226,5.37
124,43,90.72,308,4.91
222,95,85.64,473,5.3
146,64,72.6,247,3.89
134,106,98.75,251,6.89
209,106,92.75,281,8.16
161,66,89.17,251,5.56
243,71,92.77,168,8.78
182,89,91.72,231,7.14
215,100,89.12,428,5.39
171,90,99.42,488,4.96
215,58,97.1,480,4.85
148,60,89.4,278,5.39
155,44,90.8,493,2.37
132,81,71.55,459,1.93
190,100,90.1,238,7.69
205,61,71.32,362,4.18
147,60,87.65,292,5.74
185,109,99.98,214,8.11
164,40,86.67,225,5.64
181,44,84.2,348,4.95
147,51,79.39,292,3.5
147,85,73.62,465,1.76
227,73,91.93,242,6.95
163,88,75.78,454,3.89
203,117,73.46,373,5.15
149,84,82.65,440,4.73
194,66,93.86,251,6.6
247,112,92.35,416,7.12
211,65,71.65,259,6.44
248,86,83.65,479,6.28
240,95,85.67,414,7.14
146,102,89.34,152,7.9
240,87,89.51,234,8.67
235,100,80.94,431,5.93
122,120,86.82,477,3.85
222,65,84.43,453,4.4
181,75,96.55,266,6.38
170,40,85.91,370,4.05
178,47,83.23,303,4.83
237,91,82.13,302,6.76
215,118,87.17,161,9.21
232,86,94.12,282,8.23
181,95,86.15,453,4.52
171,53,89.85,442,4.52
131,67,92.14,449,2.73
158,117,85.61,377,5.1
249,41,82.8,420,4.69
250,65,96.3,192,7.95
232,53,82.53,492,4.07
220,98,83.86,475,4.93
232,95,99.71,451,7.21
200,46,70.01,170,6.25
232,42,75.56,256,5.49
121,62,81.52,485,2.8
249,57,97.98,452,6.58
173,77,72.1,266,5.35
206,54,70.28,273,5.03
248,103,71.58,430,4.92
245,67,72.66,441,4.39
249,113,71.13,352,6.94
172,78,84.39,200,7.48
187,96,87.42,420,5.81
242,56,78.15,473,4.07
157,83,81.95,426,3.2
143,64,72.75,290,4.02
188,56,80.09,424,2.94
235,52,85.68,439,5.09
217,64,91.97,483,4.63
216,107,70.1,201,6.92
243,49,84.02,176,7.0
189,106,78.91,306,6.23
212,57,95.58,388,5.46
122,73,91.47,305,4.15
209,47,87.67,440,3.0
215,79,78.32,285,6.19
171,81,97.31,293,7.3
247,80,71.35,255,7.59
158,45,73.28,307,3.53
201,91,81.75,295,5.96
223,65,73.73,151,7.48
248,103,98.69,226,8.85
130,98,93.94,281,5.94
161,95,77.77,239,6.18
218,98,87.66,494,5.58
126,109,99.47,499,3.88
209,72,96.53,412,5.65
231,92,88.02,500,4.69
179,61,97.11,257,6.2
232,60,99.68,223,8.14
121,109,92.3,188,6.89
248,109,71.95,308,7.28
167,43,82.05,220,5.02
156,114,95.13,461,5.53
128,101,76.92,390,3.4
218,101,94.92,447,6.01
167,63,73.61,185,5.27
250,94,71.41,233,6.19
173,48,81.52,412,3.96
239,42,71.1,459,4.02
235,70,98.72,321,7.26
194,79,94.79,322,6.45
232,75,94.02,196,8.72
223,63,88.89,290,5.94
203,45,76.49,267,5.11
231,105,85.55,426,6.39
218,114,87.92,363,6.12
212,43,85.75,369,5.16
247,118,77.81,175,8.15
229,45,85.46,158,7.9
201,90,84.74,420,5.06
173,101,99.89,159,7.7
187,96,96.92,270,7.86
152,105,83.9,274,5.47
140,118,88.69,319,5.26
167,114,92.44,221,7.55
247,47,71.05,301,6.19
247,65,96.85,357,6.55
152,90,95.8,198,7.16
234,84,83.72,303,7.08
238,83,81.74,496,5.06
141,44,78.19,442,2.32
157,109,84.3,217,6.48
228,65,71.33,199,6.29
170,107,95.57,301,6.76
127,58,71.06,168,4.17
146,59,79.87,249,3.4
146,51,97.95,209,6.48
140,86,92.06,316,5.72
149,40,78.44,351,2.18
216,53,77.58,494,2.93
147,103,70.15,295,4.87
230,77,90.87,313,8.0
180,76,71.46,391,3.82
167,50,85.98,218,5.47
123,116,98.86,324,5.76
154,42,73.28,198,5.45
168,72,96.83,257,6.24
136,45,99.74,375,3.87
165,89,71.85,310,4.4
236,49,96.49,268,6.97
125,44,85.48,298,3.97
